"Faster subsequent page-loads by prefetching in-viewport links during idle time.","Carregue as próximas páginas rapidamente, fazendo a pré-busca de links durante o tempo ocioso."
"Rafaelcg Extensions","Rafaelcg Extensões"
"Defaults to 2 seconds (e.g. 2000)","Padrão de 2 segundos (ex. 2000)"
"Enable","Ativar"
"Timeout limit in milliseconds.","Tempo de timeout em milissegundos."
"Request limit","Limite de requisições"
"The total requests that can be prefetched.","O total de requisições para fazer prefetch."
"Throttle","Acelerador"
"The concurrency limit for simultaneous requests.","Limite de requisições simultâneas."
"High Priority","Alta prioridade"
"Whether or not the URLs should be treated as high priority.","Se os URLs devem ou não ser tratados como alta prioridade."
