"Faster subsequent page-loads by prefetching in-viewport links during idle time.<br>
                If you have any issue, please <a title=""report issue"" target=""_blank"" href=""https://github.com/rafaelstz/magento2-quicklink/issues"">report here</a>.","Carregue as próximas páginas rapidamente, fazendo a pré-busca de links durante o tempo ocioso.<br>
                Caso tenha dificuldades ou problemas, você pode pedir suporte <a title=""report issue"" target=""_blank"" href=""https://github.com/rafaelstz/magento2-quicklink/issues"">por aqui</a>."
"Rafaelcg Extensions","Rafaelcg Extensões"
"Defaults to 2 seconds (e.g. 2000)","Padrão de 2 segundos (ex. 2000)"
"Enable","Ativar"
"Timeout limit in milliseconds.","Tempo de timeout em milissegundos."
"Request limit","Limite de requisições"
"The total requests that can be prefetched.","O total de requisições para fazer prefetch."
"Throttle","Acelerador"
"The concurrency limit for simultaneous requests.","Limite de requisições simultâneas."
"High Priority","Alta prioridade"
"Whether or not the URLs should be treated as high priority.","Se os URLs devem ou não ser tratados como alta prioridade."
"Run in developer mode","Executar em developer mode"
"Running just in production mode avoid to request extra pages with no static files generated yet.","Executar apenas em production mode evita fazer requisições para outras páginas sem arquivos estáticos gerados."
